Container contains 1674 elements.
1: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
712: This is a plane. Speed: 14, distance to destination: 1830.000000, time to distance: 130.714286, maximum flight distance: 3119, capacity: 273
713: This is a plane. Speed: 25, distance to destination: 1323.000000, time to distance: 52.920000, maximum flight distance: 2457, capacity: 140
714: This is a plane. Speed: 43, distance to destination: 1437.000000, time to distance: 33.418605, maximum flight distance: 3317, capacity: 274
715: 716: This is a plane. Speed: 39, distance to destination: 1560.000000, time to distance: 40.000000, maximum flight distance: 2821, capacity: 115
717: This is a ship. Speed: 24, distance to destination: 1520.000000, time to distance: 63.333333, ship type: liner, displacement: 4577
718: This is a plane. Speed: 8, distance to destination: 1191.000000, time to distance: 148.875000, maximum flight distance: 2063, capacity: 142
719: 720: This is a ship. Speed: 54, distance to destination: 1682.000000, time to distance: 31.148148, ship type: tugboat, displacement: 28638
721: This is a plane. Speed: 10, distance to destination: 645.000000, time to distance: 64.500000, maximum flight distance: 2334, capacity: 221
722: This is a ship. Speed: 14, distance to destination: 810.000000, time to distance: 57.857143, ship type: tanker, displacement: 33658
723: This is a ship. Speed: 21, distance to destination: 1598.000000, time to distance: 76.095238, ship type: liner, displacement: 1771
724: This is a ship. Speed: 15, distance to destination: 920.000000, time to distance: 61.333333, ship type: liner, displacement: 4894
725: This is a plane. Speed: 12, distance to destination: 949.000000, time to distance: 79.083333, maximum flight distance: 2113, capacity: 230
726: 727: This is a plane. Speed: 32, distance to destination: 1654.000000, time to distance: 51.687500, maximum flight distance: 2481, capacity: 105
728: This is a plane. Speed: 4, distance to destination: 801.000000, time to distance: 200.250000, maximum flight distance: 2691, capacity: 141
729: This is a ship. Speed: 59, distance to destination: 1809.000000, time to distance: 30.661017, ship type: tanker, displacement: 13527
730: This is a ship. Speed: 8, distance to destination: 568.000000, time to distance: 71.000000, ship type: liner, displacement: 10944
731: 732: This is a ship. Speed: 45, distance to destination: 1927.000000, time to distance: 42.822222, ship type: liner, displacement: 8676
733: 734: This is a ship. Speed: 7, distance to destination: 901.000000, time to distance: 128.714286, ship type: tanker, displacement: 14766
735: 736: 737: 738: 739: 740: 741: 742: 743: This is a plane. Speed: 42, distance to destination: 1934.000000, time to distance: 46.047619, maximum flight distance: 2630, capacity: 230
744: This is a ship. Speed: 47, distance to destination: 1885.000000, time to distance: 40.106383, ship type: tanker, displacement: 18101
745: 746: This is a plane. Speed: 10, distance to destination: 761.000000, time to distance: 76.100000, maximum flight distance: 3297, capacity: 206
747: 748: This is a ship. Speed: 25, distance to destination: 1006.000000, time to distance: 40.240000, ship type: liner, displacement: 24460
749: This is a plane. Speed: 17, distance to destination: 761.000000, time to distance: 44.764706, maximum flight distance: 2272, capacity: 107
750: This is a ship. Speed: 5, distance to destination: 1080.000000, time to distance: 216.000000, ship type: tugboat, displacement: 30637
751: This is a ship. Speed: 18, distance to destination: 817.000000, time to distance: 45.388889, ship type: tanker, displacement: 12563
752: This is a plane. Speed: 3, distance to destination: 1740.000000, time to distance: 580.000000, maximum flight distance: 3371, capacity: 108
753: This is a plane. Speed: 14, distance to destination: 1148.000000, time to distance: 82.000000, maximum flight distance: 2114, capacity: 101
754: This is a plane. Speed: 14, distance to destination: 505.000000, time to distance: 36.071429, maximum flight distance: 3087, capacity: 132
755: This is a ship. Speed: 4, distance to destination: 1826.000000, time to distance: 456.500000, ship type: liner, displacement: 18844
756: This is a ship. Speed: 2, distance to destination: 178.000000, time to distance: 89.000000, ship type: liner, displacement: 12419
757: This is a ship. Speed: 8, distance to destination: 1146.000000, time to distance: 143.250000, ship type: tanker, displacement: 29971
758: This is a ship. Speed: 13, distance to destination: 1052.000000, time to distance: 80.923077, ship type: tugboat, displacement: 19678
759: This is a plane. Speed: 48, distance to destination: 1727.000000, time to distance: 35.979167, maximum flight distance: 2229, capacity: 106
760: This is a plane. Speed: 48, distance to destination: 1836.000000, time to distance: 38.250000, maximum flight distance: 3358, capacity: 268
761: This is a plane. Speed: 6, distance to destination: 1917.000000, time to distance: 319.500000, maximum flight distance: 3902, capacity: 105
762: This is a plane. Speed: 17, distance to destination: 733.000000, time to distance: 43.117647, maximum flight distance: 2280, capacity: 142
763: 764: This is a ship. Speed: 30, distance to destination: 1125.000000, time to distance: 37.500000, ship type: tugboat, displacement: 16239
765: This is a plane. Speed: 9, distance to destination: 805.000000, time to distance: 89.444444, maximum flight distance: 2543, capacity: 237
766: This is a ship. Speed: 17, distance to destination: 905.000000, time to distance: 53.235294, ship type: liner, displacement: 27833
767: This is a ship. Speed: 32, distance to destination: 1119.000000, time to distance: 34.968750, ship type: tugboat, displacement: 18556
768: This is a ship. Speed: 29, distance to destination: 1300.000000, time to distance: 44.827586, ship type: liner, displacement: 15182
769: This is a ship. Speed: 32, distance to destination: 1533.000000, time to distance: 47.906250, ship type: tanker, displacement: 8074
770: This is a ship. Speed: 46, distance to destination: 1594.000000, time to distance: 34.652174, ship type: tanker, displacement: 15852
771: This is a ship. Speed: 33, distance to destination: 1261.000000, time to distance: 38.212121, ship type: tugboat, displacement: 28370
772: 773: 774: 775: This is a plane. Speed: 2, distance to destination: 590.000000, time to distance: 295.000000, maximum flight distance: 2511, capacity: 146
776: This is a ship. Speed: 21, distance to destination: 1863.000000, time to distance: 88.714286, ship type: liner, displacement: 15985
777: This is a plane. Speed: 51, distance to destination: 1662.000000, time to distance: 32.588235, maximum flight distance: 2757, capacity: 180
778: 779: This is a ship. Speed: 29, distance to destination: 1289.000000, time to distance: 44.448276, ship type: tugboat, displacement: 12265
780: This is a plane. Speed: 40, distance to destination: 1626.000000, time to distance: 40.650000, maximum flight distance: 3856, capacity: 211
781: This is a ship. Speed: 6, distance to destination: 1096.000000, time to distance: 182.666667, ship type: tanker, displacement: 10394
782: 783: This is a plane. Speed: 23, distance to destination: 1267.000000, time to distance: 55.086957, maximum flight distance: 2434, capacity: 193
784: This is a ship. Speed: 34, distance to destination: 1713.000000, time to distance: 50.382353, ship type: liner, displacement: 12776
785: This is a ship. Speed: 43, distance to destination: 1467.000000, time to distance: 34.116279, ship type: tanker, displacement: 14232
786: This is a ship. Speed: 14, distance to destination: 1203.000000, time to distance: 85.928571, ship type: tanker, displacement: 25881
787: This is a ship. Speed: 21, distance to destination: 1809.000000, time to distance: 86.142857, ship type: tugboat, displacement: 31114
788: This is a ship. Speed: 11, distance to destination: 1610.000000, time to distance: 146.363636, ship type: tanker, displacement: 10138
789: 790: This is a plane. Speed: 25, distance to destination: 1925.000000, time to distance: 77.000000, maximum flight distance: 2937, capacity: 210
791: This is a plane. Speed: 37, distance to destination: 1736.000000, time to distance: 46.918919, maximum flight distance: 3038, capacity: 131
792: This is a plane. Speed: 17, distance to destination: 1804.000000, time to distance: 106.117647, maximum flight distance: 2272, capacity: 204
793: This is a ship. Speed: 27, distance to destination: 1859.000000, time to distance: 68.851852, ship type: liner, displacement: 27867
794: This is a ship. Speed: 32, distance to destination: 1818.000000, time to distance: 56.812500, ship type: tugboat, displacement: 25278
795: 796: This is a ship. Speed: 10, distance to destination: 352.000000, time to distance: 35.200000, ship type: tugboat, displacement: 17903
797: 798: This is a ship. Speed: 15, distance to destination: 1596.000000, time to distance: 106.400000, ship type: liner, displacement: 25785
799: This is a ship. Speed: 5, distance to destination: 556.000000, time to distance: 111.200000, ship type: liner, displacement: 8826
800: This is a plane. Speed: 3, distance to destination: 1107.000000, time to distance: 369.000000, maximum flight distance: 2237, capacity: 181
801: 802: This is a ship. Speed: 20, distance to destination: 1902.000000, time to distance: 95.100000, ship type: tanker, displacement: 27415
803: This is a plane. Speed: 6, distance to destination: 1509.000000, time to distance: 251.500000, maximum flight distance: 2855, capacity: 193
804: 805: This is a ship. Speed: 1, distance to destination: 1580.000000, time to distance: 1580.000000, ship type: liner, displacement: 10105
806: This is a ship. Speed: 12, distance to destination: 1087.000000, time to distance: 90.583333, ship type: tanker, displacement: 10275
807: This is a plane. Speed: 12, distance to destination: 1205.000000, time to distance: 100.416667, maximum flight distance: 2421, capacity: 134
808: This is a plane. Speed: 10, distance to destination: 1917.000000, time to distance: 191.700000, maximum flight distance: 3308, capacity: 231
809: 810: This is a ship. Speed: 46, distance to destination: 1395.000000, time to distance: 30.326087, ship type: tanker, displacement: 20008
811: This is a ship. Speed: 31, distance to destination: 1326.000000, time to distance: 42.774194, ship type: tugboat, displacement: 15928
812: This is a plane. Speed: 6, distance to destination: 1251.000000, time to distance: 208.500000, maximum flight distance: 3356, capacity: 275
813: This is a ship. Speed: 48, distance to destination: 1952.000000, time to distance: 40.666667, ship type: liner, displacement: 17857
814: This is a plane. Speed: 17, distance to destination: 996.000000, time to distance: 58.588235, maximum flight distance: 3004, capacity: 235
815: This is a ship. Speed: 10, distance to destination: 518.000000, time to distance: 51.800000, ship type: tanker, displacement: 15911
816: 817: 818: This is a ship. Speed: 1, distance to destination: 610.000000, time to distance: 610.000000, ship type: tanker, displacement: 20808
819: This is a ship. Speed: 33, distance to destination: 1141.000000, time to distance: 34.575758, ship type: tanker, displacement: 10368
820: 821: This is a plane. Speed: 29, distance to destination: 937.000000, time to distance: 32.310345, maximum flight distance: 3498, capacity: 110
822: This is a plane. Speed: 5, distance to destination: 1618.000000, time to distance: 323.600000, maximum flight distance: 3599, capacity: 109
823: This is a ship. Speed: 18, distance to destination: 1083.000000, time to distance: 60.166667, ship type: tanker, displacement: 33484
824: This is a ship. Speed: 9, distance to destination: 287.000000, time to distance: 31.888889, ship type: tanker, displacement: 28759
825: 826: This is a ship. Speed: 30, distance to destination: 1562.000000, time to distance: 52.066667, ship type: tugboat, displacement: 16575
827: This is a plane. Speed: 22, distance to destination: 1809.000000, time to distance: 82.227273, maximum flight distance: 2687, capacity: 277
828: This is a plane. Speed: 20, distance to destination: 904.000000, time to distance: 45.200000, maximum flight distance: 2793, capacity: 115
829: 830: This is a plane. Speed: 10, distance to destination: 1883.000000, time to distance: 188.300000, maximum flight distance: 2114, capacity: 143
831: This is a plane. Speed: 52, distance to destination: 1914.000000, time to distance: 36.807692, maximum flight distance: 2137, capacity: 172
832: This is a plane. Speed: 12, distance to destination: 633.000000, time to distance: 52.750000, maximum flight distance: 3927, capacity: 232
833: This is a plane. Speed: 40, distance to destination: 1759.000000, time to distance: 43.975000, maximum flight distance: 2935, capacity: 295
834: This is a ship. Speed: 34, distance to destination: 1579.000000, time to distance: 46.441176, ship type: tanker, displacement: 11260
835: This is a plane. Speed: 16, distance to destination: 1173.000000, time to distance: 73.312500, maximum flight distance: 3401, capacity: 293
836: This is a ship. Speed: 22, distance to destination: 970.000000, time to distance: 44.090909, ship type: liner, displacement: 31015
837: This is a ship. Speed: 32, distance to destination: 1100.000000, time to distance: 34.375000, ship type: liner, displacement: 13807
838: This is a plane. Speed: 21, distance to destination: 878.000000, time to distance: 41.809524, maximum flight distance: 3660, capacity: 134
839: This is a ship. Speed: 15, distance to destination: 1405.000000, time to distance: 93.666667, ship type: liner, displacement: 28670
840: 841: 842: 843: This is a ship. Speed: 53, distance to destination: 1735.000000, time to distance: 32.735849, ship type: tanker, displacement: 13981
844: 845: This is a plane. Speed: 10, distance to destination: 816.000000, time to distance: 81.600000, maximum flight distance: 2214, capacity: 243
846: 847: 848: 849: This is a plane. Speed: 11, distance to destination: 1005.000000, time to distance: 91.363636, maximum flight distance: 3492, capacity: 214
850: This is a plane. Speed: 8, distance to destination: 1387.000000, time to distance: 173.375000, maximum flight distance: 2612, capacity: 144
851: This is a ship. Speed: 7, distance to destination: 334.000000, time to distance: 47.714286, ship type: tugboat, displacement: 26004
852: This is a plane. Speed: 45, distance to destination: 1846.000000, time to distance: 41.022222, maximum flight distance: 3430, capacity: 195
853: 854: 855: This is a ship. Speed: 3, distance to destination: 1231.000000, time to distance: 410.333333, ship type: tugboat, displacement: 32181
856: This is a ship. Speed: 17, distance to destination: 1280.000000, time to distance: 75.294118, ship type: liner, displacement: 25039
857: This is a plane. Speed: 26, distance to destination: 1373.000000, time to distance: 52.807692, maximum flight distance: 2278, capacity: 121
858: 859: 860: This is a plane. Speed: 4, distance to destination: 800.000000, time to distance: 200.000000, maximum flight distance: 3381, capacity: 169
861: This is a ship. Speed: 30, distance to destination: 1830.000000, time to distance: 61.000000, ship type: tanker, displacement: 8193
862: This is a ship. Speed: 2, distance to destination: 1002.000000, time to distance: 501.000000, ship type: liner, displacement: 18401
863: This is a ship. Speed: 4, distance to destination: 1438.000000, time to distance: 359.500000, ship type: liner, displacement: 18350
864: This is a plane. Speed: 12, distance to destination: 612.000000, time to distance: 51.000000, maximum flight distance: 3135, capacity: 180
865: This is a ship. Speed: 19, distance to destination: 846.000000, time to distance: 44.526316, ship type: tugboat, displacement: 21005
866: This is a ship. Speed: 42, distance to destination: 1968.000000, time to distance: 46.857143, ship type: tugboat, displacement: 2988
867: This is a plane. Speed: 16, distance to destination: 1221.000000, time to distance: 76.312500, maximum flight distance: 3502, capacity: 227
868: This is a plane. Speed: 28, distance to destination: 1171.000000, time to distance: 41.821429, maximum flight distance: 3640, capacity: 219
869: This is a ship. Speed: 26, distance to destination: 1318.000000, time to distance: 50.692308, ship type: liner, displacement: 19303
870: This is a ship. Speed: 42, distance to destination: 1458.000000, time to distance: 34.714286, ship type: tugboat, displacement: 12729
871: This is a plane. Speed: 33, distance to destination: 1145.000000, time to distance: 34.696970, maximum flight distance: 2583, capacity: 110
872: This is a plane. Speed: 11, distance to destination: 966.000000, time to distance: 87.818182, maximum flight distance: 2502, capacity: 251
873: This is a ship. Speed: 5, distance to destination: 475.000000, time to distance: 95.000000, ship type: tanker, displacement: 8620
874: This is a plane. Speed: 26, distance to destination: 1331.000000, time to distance: 51.192308, maximum flight distance: 2381, capacity: 260
875: 876: 877: This is a plane. Speed: 26, distance to destination: 1331.000000, time to distance: 51.192308, maximum flight distance: 2888, capacity: 194
878: This is a plane. Speed: 24, distance to destination: 1374.000000, time to distance: 57.250000, maximum flight distance: 3350, capacity: 112
879: This is a ship. Speed: 6, distance to destination: 1213.000000, time to distance: 202.166667, ship type: tugboat, displacement: 24876
880: This is a plane. Speed: 52, distance to destination: 1738.000000, time to distance: 33.423077, maximum flight distance: 3090, capacity: 186
881: This is a plane. Speed: 8, distance to destination: 636.000000, time to distance: 79.500000, maximum flight distance: 3573, capacity: 160
882: This is a ship. Speed: 22, distance to destination: 1006.000000, time to distance: 45.727273, ship type: tanker, displacement: 6593
883: 884: This is a plane. Speed: 25, distance to destination: 933.000000, time to distance: 37.320000, maximum flight distance: 2144, capacity: 146
885: This is a plane. Speed: 26, distance to destination: 1115.000000, time to distance: 42.884615, maximum flight distance: 2247, capacity: 127
886: This is a ship. Speed: 27, distance to destination: 1644.000000, time to distance: 60.888889, ship type: tanker, displacement: 23073
887: 888: 889: This is a ship. Speed: 4, distance to destination: 1298.000000, time to distance: 324.500000, ship type: tanker, displacement: 20447
890: 891: This is a ship. Speed: 3, distance to destination: 1232.000000, time to distance: 410.666667, ship type: tugboat, displacement: 16837
892: 893: This is a plane. Speed: 15, distance to destination: 1826.000000, time to distance: 121.733333, maximum flight distance: 3574, capacity: 281
894: 895: 896: This is a ship. Speed: 13, distance to destination: 723.000000, time to distance: 55.615385, ship type: tanker, displacement: 24952
897: This is a ship. Speed: 40, distance to destination: 1910.000000, time to distance: 47.750000, ship type: tugboat, displacement: 29983
898: This is a ship. Speed: 9, distance to destination: 1747.000000, time to distance: 194.111111, ship type: liner, displacement: 27594
899: This is a plane. Speed: 53, distance to destination: 1776.000000, time to distance: 33.509434, maximum flight distance: 2709, capacity: 259
900: 901: This is a plane. Speed: 57, distance to destination: 1909.000000, time to distance: 33.491228, maximum flight distance: 2946, capacity: 134
902: 903: 904: 905: 906: This is a plane. Speed: 37, distance to destination: 1152.000000, time to distance: 31.135135, maximum flight distance: 2078, capacity: 275
907: This is a ship. Speed: 10, distance to destination: 1465.000000, time to distance: 146.500000, ship type: tanker, displacement: 29398
908: 909: This is a ship. Speed: 3, distance to destination: 1056.000000, time to distance: 352.000000, ship type: tugboat, displacement: 1574
910: 911: This is a ship. Speed: 20, distance to destination: 908.000000, time to distance: 45.400000, ship type: tanker, displacement: 18858
912: This is a ship. Speed: 22, distance to destination: 1133.000000, time to distance: 51.500000, ship type: liner, displacement: 17119
913: 914: This is a plane. Speed: 49, distance to destination: 1767.000000, time to distance: 36.061224, maximum flight distance: 3179, capacity: 116
915: This is a ship. Speed: 9, distance to destination: 1145.000000, time to distance: 127.222222, ship type: tanker, displacement: 24097
916: This is a plane. Speed: 1, distance to destination: 885.000000, time to distance: 885.000000, maximum flight distance: 3825, capacity: 255
917: This is a ship. Speed: 19, distance to destination: 761.000000, time to distance: 40.052632, ship type: liner, displacement: 17020
918: 919: This is a plane. Speed: 16, distance to destination: 1212.000000, time to distance: 75.750000, maximum flight distance: 2262, capacity: 233
920: This is a plane. Speed: 29, distance to destination: 1850.000000, time to distance: 63.793103, maximum flight distance: 3200, capacity: 165
921: This is a ship. Speed: 20, distance to destination: 1242.000000, time to distance: 62.100000, ship type: liner, displacement: 33455
922: This is a plane. Speed: 26, distance to destination: 1321.000000, time to distance: 50.807692, maximum flight distance: 2621, capacity: 194
923: 924: 925: 926: This is a ship. Speed: 3, distance to destination: 450.000000, time to distance: 150.000000, ship type: liner, displacement: 1485
927: This is a ship. Speed: 47, distance to destination: 1712.000000, time to distance: 36.425532, ship type: tugboat, displacement: 23629
928: This is a ship. Speed: 45, distance to destination: 1473.000000, time to distance: 32.733333, ship type: tanker, displacement: 4592
929: This is a plane. Speed: 40, distance to destination: 1918.000000, time to distance: 47.950000, maximum flight distance: 3858, capacity: 295
930: This is a ship. Speed: 27, distance to destination: 1486.000000, time to distance: 55.037037, ship type: tugboat, displacement: 9923
931: This is a ship. Speed: 27, distance to destination: 1036.000000, time to distance: 38.370370, ship type: liner, displacement: 13486
932: 933: 934: This is a ship. Speed: 12, distance to destination: 486.000000, time to distance: 40.500000, ship type: tugboat, displacement: 3786
935: This is a ship. Speed: 15, distance to destination: 1733.000000, time to distance: 115.533333, ship type: tanker, displacement: 33731
936: This is a plane. Speed: 21, distance to destination: 1055.000000, time to distance: 50.238095, maximum flight distance: 3559, capacity: 230
937: 938: This is a ship. Speed: 42, distance to destination: 1864.000000, time to distance: 44.380952, ship type: tugboat, displacement: 13533
939: 940: This is a ship. Speed: 5, distance to destination: 1920.000000, time to distance: 384.000000, ship type: tanker, displacement: 1006
941: 942: This is a ship. Speed: 38, distance to destination: 1304.000000, time to distance: 34.315789, ship type: liner, displacement: 28428
943: This is a ship. Speed: 6, distance to destination: 1615.000000, time to distance: 269.166667, ship type: tanker, displacement: 31110
944: This is a plane. Speed: 47, distance to destination: 1809.000000, time to distance: 38.489362, maximum flight distance: 2312, capacity: 111
945: This is a ship. Speed: 30, distance to destination: 921.000000, time to distance: 30.700000, ship type: liner, displacement: 9600
946: This is a plane. Speed: 21, distance to destination: 1030.000000, time to distance: 49.047619, maximum flight distance: 2292, capacity: 152
947: 948: 949: 950: 951: This is a plane. Speed: 28, distance to destination: 1340.000000, time to distance: 47.857143, maximum flight distance: 2495, capacity: 125
952: This is a ship. Speed: 2, distance to destination: 1455.000000, time to distance: 727.500000, ship type: tugboat, displacement: 9671
953: This is a ship. Speed: 24, distance to destination: 1649.000000, time to distance: 68.708333, ship type: liner, displacement: 22937
954: 955: This is a ship. Speed: 8, distance to destination: 1030.000000, time to distance: 128.750000, ship type: tugboat, displacement: 25597
956: This is a plane. Speed: 14, distance to destination: 824.000000, time to distance: 58.857143, maximum flight distance: 2312, capacity: 154
957: This is a ship. Speed: 40, distance to destination: 1455.000000, time to distance: 36.375000, ship type: tugboat, displacement: 16865
958: This is a plane. Speed: 5, distance to destination: 1631.000000, time to distance: 326.200000, maximum flight distance: 2793, capacity: 227
959: 960: This is a ship. Speed: 2, distance to destination: 1066.000000, time to distance: 533.000000, ship type: liner, displacement: 1032
961: 962: This is a plane. Speed: 7, distance to destination: 1422.000000, time to distance: 203.142857, maximum flight distance: 2033, capacity: 250
963: 964: This is a plane. Speed: 8, distance to destination: 700.000000, time to distance: 87.500000, maximum flight distance: 2616, capacity: 245
965: This is a plane. Speed: 10, distance to destination: 1279.000000, time to distance: 127.900000, maximum flight distance: 3082, capacity: 131
966: 967: This is a plane. Speed: 23, distance to destination: 1082.000000, time to distance: 47.043478, maximum flight distance: 3471, capacity: 164
968: This is a ship. Speed: 17, distance to destination: 1274.000000, time to distance: 74.941176, ship type: tugboat, displacement: 11355
969: 970: 971: This is a ship. Speed: 51, distance to destination: 1957.000000, time to distance: 38.372549, ship type: tanker, displacement: 30847
972: 973: 974: 975: 976: This is a plane. Speed: 28, distance to destination: 1341.000000, time to distance: 47.892857, maximum flight distance: 3935, capacity: 130
977: This is a ship. Speed: 7, distance to destination: 1954.000000, time to distance: 279.142857, ship type: tugboat, displacement: 4266
978: This is a plane. Speed: 19, distance to destination: 812.000000, time to distance: 42.736842, maximum flight distance: 2300, capacity: 271
979: This is a ship. Speed: 26, distance to destination: 1746.000000, time to distance: 67.153846, ship type: tanker, displacement: 11736
980: This is a ship. Speed: 17, distance to destination: 1277.000000, time to distance: 75.117647, ship type: liner, displacement: 24524
981: 982: This is a plane. Speed: 47, distance to destination: 1822.000000, time to distance: 38.765957, maximum flight distance: 3296, capacity: 153
983: This is a ship. Speed: 48, distance to destination: 1744.000000, time to distance: 36.333333, ship type: liner, displacement: 26275
984: 985: 986: This is a plane. Speed: 3, distance to destination: 767.000000, time to distance: 255.666667, maximum flight distance: 3132, capacity: 168
987: This is a ship. Speed: 11, distance to destination: 471.000000, time to distance: 42.818182, ship type: tugboat, displacement: 13219
988: This is a plane. Speed: 49, distance to destination: 1543.000000, time to distance: 31.489796, maximum flight distance: 3906, capacity: 278
989: 990: This is a plane. Speed: 57, distance to destination: 1816.000000, time to distance: 31.859649, maximum flight distance: 3887, capacity: 224
991: This is a ship. Speed: 22, distance to destination: 1377.000000, time to distance: 62.590909, ship type: tanker, displacement: 12408
992: 993: This is a plane. Speed: 37, distance to destination: 1195.000000, time to distance: 32.297297, maximum flight distance: 3393, capacity: 232
994: 995: 996: This is a plane. Speed: 4, distance to destination: 1116.000000, time to distance: 279.000000, maximum flight distance: 3798, capacity: 213
997: This is a ship. Speed: 25, distance to destination: 961.000000, time to distance: 38.440000, ship type: tanker, displacement: 18160
998: This is a ship. Speed: 55, distance to destination: 1910.000000, time to distance: 34.727273, ship type: tugboat, displacement: 8464
999: This is a plane. Speed: 24, distance to destination: 1812.000000, time to distance: 75.500000, maximum flight distance: 3224, capacity: 241
1000: 1001: This is a plane. Speed: 42, distance to destination: 1937.000000, time to distance: 46.119048, maximum flight distance: 3999, capacity: 117
1002: This is a plane. Speed: 29, distance to destination: 1149.000000, time to distance: 39.620690, maximum flight distance: 3471, capacity: 215
1003: This is a plane. Speed: 5, distance to destination: 1705.000000, time to distance: 341.000000, maximum flight distance: 2721, capacity: 134
1004: 1005: This is a plane. Speed: 31, distance to destination: 1930.000000, time to distance: 62.258065, maximum flight distance: 2368, capacity: 181
1006: This is a plane. Speed: 14, distance to destination: 425.000000, time to distance: 30.357143, maximum flight distance: 2198, capacity: 112
1007: 1008: 1009: 1010: This is a ship. Speed: 3, distance to destination: 1828.000000, time to distance: 609.333333, ship type: liner, displacement: 16874
1011: 1012: This is a ship. Speed: 26, distance to destination: 1195.000000, time to distance: 45.961538, ship type: tugboat, displacement: 10674
1013: 1014: This is a plane. Speed: 65, distance to destination: 1959.000000, time to distance: 30.138462, maximum flight distance: 3258, capacity: 246
1015: This is a plane. Speed: 10, distance to destination: 840.000000, time to distance: 84.000000, maximum flight distance: 3771, capacity: 228
1016: 1017: This is a ship. Speed: 13, distance to destination: 955.000000, time to distance: 73.461538, ship type: liner, displacement: 31931
1018: This is a plane. Speed: 48, distance to destination: 1557.000000, time to distance: 32.437500, maximum flight distance: 3961, capacity: 124
1019: 1020: 1021: 1022: This is a plane. Speed: 12, distance to destination: 444.000000, time to distance: 37.000000, maximum flight distance: 2274, capacity: 285
1023: 1024: This is a ship. Speed: 9, distance to destination: 1763.000000, time to distance: 195.888889, ship type: tanker, displacement: 16051
1025: This is a plane. Speed: 31, distance to destination: 1701.000000, time to distance: 54.870968, maximum flight distance: 2964, capacity: 248
1026: This is a plane. Speed: 56, distance to destination: 1801.000000, time to distance: 32.160714, maximum flight distance: 3228, capacity: 104
1027: This is a ship. Speed: 4, distance to destination: 378.000000, time to distance: 94.500000, ship type: tugboat, displacement: 16852
1028: This is a plane. Speed: 31, distance to destination: 1000.000000, time to distance: 32.258065, maximum flight distance: 3412, capacity: 254
1029: This is a plane. Speed: 44, distance to destination: 1696.000000, time to distance: 38.545455, maximum flight distance: 3133, capacity: 228
1030: This is a ship. Speed: 10, distance to destination: 1717.000000, time to distance: 171.700000, ship type: tugboat, displacement: 1769
1031: This is a ship. Speed: 12, distance to destination: 1545.000000, time to distance: 128.750000, ship type: liner, displacement: 32579
1032: 1033: 1034: This is a ship. Speed: 16, distance to destination: 1718.000000, time to distance: 107.375000, ship type: tanker, displacement: 2081
1035: This is a plane. Speed: 25, distance to destination: 1395.000000, time to distance: 55.800000, maximum flight distance: 2117, capacity: 132
1036: 1037: This is a ship. Speed: 23, distance to destination: 1613.000000, time to distance: 70.130435, ship type: liner, displacement: 30961
1038: 1039: This is a plane. Speed: 10, distance to destination: 1371.000000, time to distance: 137.100000, maximum flight distance: 2034, capacity: 195
1040: 1041: 1042: 1043: This is a ship. Speed: 23, distance to destination: 1118.000000, time to distance: 48.608696, ship type: tanker, displacement: 2978
1044: This is a plane. Speed: 33, distance to destination: 1370.000000, time to distance: 41.515152, maximum flight distance: 3275, capacity: 185
1045: This is a plane. Speed: 35, distance to destination: 1834.000000, time to distance: 52.400000, maximum flight distance: 2867, capacity: 186
1046: This is a plane. Speed: 46, distance to destination: 1881.000000, time to distance: 40.891304, maximum flight distance: 2176, capacity: 223
1047: This is a plane. Speed: 31, distance to destination: 924.000000, time to distance: 29.806452, maximum flight distance: 2389, capacity: 201
1048: 1049: 1050: This is a plane. Speed: 35, distance to destination: 1579.000000, time to distance: 45.114286, maximum flight distance: 2725, capacity: 136
1051: This is a ship. Speed: 24, distance to destination: 1317.000000, time to distance: 54.875000, ship type: tugboat, displacement: 3784
1052: 1053: This is a plane. Speed: 27, distance to destination: 1245.000000, time to distance: 46.111111, maximum flight distance: 3797, capacity: 254
1054: This is a plane. Speed: 1, distance to destination: 761.000000, time to distance: 761.000000, maximum flight distance: 3122, capacity: 111
1055: 1056: This is a plane. Speed: 8, distance to destination: 1436.000000, time to distance: 179.500000, maximum flight distance: 2091, capacity: 186
1057: This is a ship. Speed: 45, distance to destination: 1968.000000, time to distance: 43.733333, ship type: liner, displacement: 20689
1058: 1059: This is a plane. Speed: 6, distance to destination: 420.000000, time to distance: 70.000000, maximum flight distance: 3539, capacity: 113
1060: This is a plane. Speed: 36, distance to destination: 1268.000000, time to distance: 35.222222, maximum flight distance: 2590, capacity: 240
1061: This is a ship. Speed: 15, distance to destination: 759.000000, time to distance: 50.600000, ship type: tugboat, displacement: 27728
1062: This is a plane. Speed: 21, distance to destination: 1781.000000, time to distance: 84.809524, maximum flight distance: 2974, capacity: 249
1063: This is a plane. Speed: 51, distance to destination: 1978.000000, time to distance: 38.784314, maximum flight distance: 3563, capacity: 122
1064: This is a ship. Speed: 29, distance to destination: 995.000000, time to distance: 34.310345, ship type: tugboat, displacement: 25981
1065: 1066: This is a ship. Speed: 32, distance to destination: 1856.000000, time to distance: 58.000000, ship type: tugboat, displacement: 15476
1067: This is a plane. Speed: 41, distance to destination: 1742.000000, time to distance: 42.487805, maximum flight distance: 2507, capacity: 170
