Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
4743: This is a plane. Speed: 67, distance to destination: 1446.000000, time to distance: 21.582090, maximum flight distance: 3954, capacity: 189
4744: This is a plane. Speed: 42, distance to destination: 537.000000, time to distance: 12.785714, maximum flight distance: 2520, capacity: 138
4745: This is a ship. Speed: 114, distance to destination: 1027.000000, time to distance: 9.008772, ship type: liner, displacement: 3727
4746: This is a ship. Speed: 48, distance to destination: 1952.000000, time to distance: 40.666667, ship type: liner, displacement: 17857
4747: This is a plane. Speed: 62, distance to destination: 1357.000000, time to distance: 21.887097, maximum flight distance: 2838, capacity: 250
4748: This is a ship. Speed: 113, distance to destination: 1376.000000, time to distance: 12.176991, ship type: liner, displacement: 13436
4749: This is a plane. Speed: 17, distance to destination: 996.000000, time to distance: 58.588235, maximum flight distance: 3004, capacity: 235
4750: 4751: This is a plane. Speed: 173, distance to destination: 48.000000, time to distance: 0.277457, maximum flight distance: 2476, capacity: 284
4752: This is a ship. Speed: 10, distance to destination: 518.000000, time to distance: 51.800000, ship type: tanker, displacement: 15911
4753: This is a plane. Speed: 81, distance to destination: 1304.000000, time to distance: 16.098765, maximum flight distance: 2386, capacity: 187
4754: This is a ship. Speed: 159, distance to destination: 1804.000000, time to distance: 11.345912, ship type: tugboat, displacement: 2723
4755: This is a ship. Speed: 102, distance to destination: 491.000000, time to distance: 4.813725, ship type: liner, displacement: 7175
4756: 4757: This is a ship. Speed: 182, distance to destination: 909.000000, time to distance: 4.994505, ship type: tanker, displacement: 25737
4758: 4759: This is a ship. Speed: 112, distance to destination: 1665.000000, time to distance: 14.866071, ship type: tugboat, displacement: 4198
4760: This is a ship. Speed: 72, distance to destination: 1341.000000, time to distance: 18.625000, ship type: tanker, displacement: 6279
4761: 4762: 4763: 4764: 4765: This is a plane. Speed: 111, distance to destination: 114.000000, time to distance: 1.027027, maximum flight distance: 3339, capacity: 147
4766: 4767: This is a ship. Speed: 126, distance to destination: 1780.000000, time to distance: 14.126984, ship type: tanker, displacement: 6196
4768: This is a plane. Speed: 139, distance to destination: 1123.000000, time to distance: 8.079137, maximum flight distance: 3250, capacity: 277
4769: This is a ship. Speed: 169, distance to destination: 1361.000000, time to distance: 8.053254, ship type: tugboat, displacement: 30035
4770: This is a ship. Speed: 1, distance to destination: 610.000000, time to distance: 610.000000, ship type: tanker, displacement: 20808
4771: This is a ship. Speed: 33, distance to destination: 1141.000000, time to distance: 34.575758, ship type: tanker, displacement: 10368
4772: 4773: 4774: This is a plane. Speed: 139, distance to destination: 1178.000000, time to distance: 8.474820, maximum flight distance: 3671, capacity: 299
4775: This is a plane. Speed: 30, distance to destination: 710.000000, time to distance: 23.666667, maximum flight distance: 3337, capacity: 100
4776: This is a plane. Speed: 56, distance to destination: 357.000000, time to distance: 6.375000, maximum flight distance: 2096, capacity: 106
4777: This is a plane. Speed: 29, distance to destination: 937.000000, time to distance: 32.310345, maximum flight distance: 3498, capacity: 110
4778: This is a plane. Speed: 5, distance to destination: 1618.000000, time to distance: 323.600000, maximum flight distance: 3599, capacity: 109
4779: 4780: 4781: This is a ship. Speed: 18, distance to destination: 1083.000000, time to distance: 60.166667, ship type: tanker, displacement: 33484
4782: This is a plane. Speed: 176, distance to destination: 194.000000, time to distance: 1.102273, maximum flight distance: 2443, capacity: 197
4783: This is a ship. Speed: 101, distance to destination: 225.000000, time to distance: 2.227723, ship type: tugboat, displacement: 13137
4784: This is a ship. Speed: 148, distance to destination: 226.000000, time to distance: 1.527027, ship type: tanker, displacement: 31772
4785: This is a plane. Speed: 163, distance to destination: 1384.000000, time to distance: 8.490798, maximum flight distance: 2242, capacity: 265
4786: 4787: This is a ship. Speed: 178, distance to destination: 762.000000, time to distance: 4.280899, ship type: tanker, displacement: 24400
4788: This is a ship. Speed: 9, distance to destination: 287.000000, time to distance: 31.888889, ship type: tanker, displacement: 28759
4789: This is a ship. Speed: 151, distance to destination: 23.000000, time to distance: 0.152318, ship type: liner, displacement: 12157
4790: This is a plane. Speed: 46, distance to destination: 32.000000, time to distance: 0.695652, maximum flight distance: 2442, capacity: 299
4791: This is a ship. Speed: 156, distance to destination: 483.000000, time to distance: 3.096154, ship type: tanker, displacement: 29284
4792: This is a ship. Speed: 174, distance to destination: 1702.000000, time to distance: 9.781609, ship type: tanker, displacement: 7857
4793: 4794: This is a plane. Speed: 83, distance to destination: 1208.000000, time to distance: 14.554217, maximum flight distance: 3319, capacity: 155
4795: This is a plane. Speed: 193, distance to destination: 1838.000000, time to distance: 9.523316, maximum flight distance: 2549, capacity: 256
4796: This is a ship. Speed: 148, distance to destination: 146.000000, time to distance: 0.986486, ship type: tanker, displacement: 5328
4797: 4798: This is a ship. Speed: 130, distance to destination: 1251.000000, time to distance: 9.623077, ship type: liner, displacement: 29478
4799: This is a plane. Speed: 144, distance to destination: 460.000000, time to distance: 3.194444, maximum flight distance: 3619, capacity: 187
4800: This is a plane. Speed: 150, distance to destination: 1808.000000, time to distance: 12.053333, maximum flight distance: 2051, capacity: 128
4801: 4802: This is a plane. Speed: 97, distance to destination: 1180.000000, time to distance: 12.164948, maximum flight distance: 3279, capacity: 153
4803: 4804: 4805: This is a ship. Speed: 101, distance to destination: 1189.000000, time to distance: 11.772277, ship type: tanker, displacement: 20557
4806: 4807: This is a plane. Speed: 76, distance to destination: 285.000000, time to distance: 3.750000, maximum flight distance: 2413, capacity: 102
4808: This is a ship. Speed: 111, distance to destination: 977.000000, time to distance: 8.801802, ship type: tanker, displacement: 30395
4809: 4810: This is a ship. Speed: 55, distance to destination: 1297.000000, time to distance: 23.581818, ship type: liner, displacement: 22498
4811: This is a plane. Speed: 130, distance to destination: 163.000000, time to distance: 1.253846, maximum flight distance: 2920, capacity: 174
4812: This is a ship. Speed: 96, distance to destination: 191.000000, time to distance: 1.989583, ship type: liner, displacement: 32230
4813: 4814: This is a plane. Speed: 28, distance to destination: 830.000000, time to distance: 29.642857, maximum flight distance: 2768, capacity: 262
4815: This is a plane. Speed: 89, distance to destination: 1909.000000, time to distance: 21.449438, maximum flight distance: 2076, capacity: 153
4816: This is a ship. Speed: 184, distance to destination: 677.000000, time to distance: 3.679348, ship type: liner, displacement: 22825
4817: This is a ship. Speed: 30, distance to destination: 1562.000000, time to distance: 52.066667, ship type: tugboat, displacement: 16575
4818: This is a plane. Speed: 109, distance to destination: 1526.000000, time to distance: 14.000000, maximum flight distance: 2247, capacity: 134
4819: 4820: This is a ship. Speed: 187, distance to destination: 1205.000000, time to distance: 6.443850, ship type: liner, displacement: 7592
4821: This is a ship. Speed: 170, distance to destination: 1577.000000, time to distance: 9.276471, ship type: liner, displacement: 31657
4822: This is a plane. Speed: 22, distance to destination: 1809.000000, time to distance: 82.227273, maximum flight distance: 2687, capacity: 277
4823: This is a plane. Speed: 20, distance to destination: 904.000000, time to distance: 45.200000, maximum flight distance: 2793, capacity: 115
4824: 4825: This is a ship. Speed: 39, distance to destination: 305.000000, time to distance: 7.820513, ship type: tugboat, displacement: 30722
4826: 4827: This is a plane. Speed: 10, distance to destination: 1883.000000, time to distance: 188.300000, maximum flight distance: 2114, capacity: 143
4828: 4829: This is a plane. Speed: 91, distance to destination: 1535.000000, time to distance: 16.868132, maximum flight distance: 2347, capacity: 215
4830: This is a ship. Speed: 43, distance to destination: 819.000000, time to distance: 19.046512, ship type: tugboat, displacement: 2096
4831: 4832: This is a ship. Speed: 21, distance to destination: 67.000000, time to distance: 3.190476, ship type: tanker, displacement: 18150
4833: This is a plane. Speed: 52, distance to destination: 1914.000000, time to distance: 36.807692, maximum flight distance: 2137, capacity: 172
4834: This is a plane. Speed: 12, distance to destination: 633.000000, time to distance: 52.750000, maximum flight distance: 3927, capacity: 232
4835: 4836: This is a plane. Speed: 186, distance to destination: 597.000000, time to distance: 3.209677, maximum flight distance: 2787, capacity: 222
4837: This is a plane. Speed: 141, distance to destination: 1213.000000, time to distance: 8.602837, maximum flight distance: 2165, capacity: 146
4838: This is a plane. Speed: 53, distance to destination: 19.000000, time to distance: 0.358491, maximum flight distance: 3327, capacity: 195
4839: 4840: This is a plane. Speed: 127, distance to destination: 1105.000000, time to distance: 8.700787, maximum flight distance: 2363, capacity: 253
4841: This is a ship. Speed: 54, distance to destination: 1094.000000, time to distance: 20.259259, ship type: tanker, displacement: 32841
4842: This is a plane. Speed: 40, distance to destination: 1759.000000, time to distance: 43.975000, maximum flight distance: 2935, capacity: 295
4843: This is a plane. Speed: 172, distance to destination: 796.000000, time to distance: 4.627907, maximum flight distance: 2384, capacity: 113
4844: This is a ship. Speed: 117, distance to destination: 1206.000000, time to distance: 10.307692, ship type: tanker, displacement: 17489
4845: This is a ship. Speed: 179, distance to destination: 1520.000000, time to distance: 8.491620, ship type: liner, displacement: 20544
4846: This is a ship. Speed: 110, distance to destination: 1898.000000, time to distance: 17.254545, ship type: liner, displacement: 20488
4847: This is a ship. Speed: 34, distance to destination: 1579.000000, time to distance: 46.441176, ship type: tanker, displacement: 11260
4848: This is a ship. Speed: 193, distance to destination: 1220.000000, time to distance: 6.321244, ship type: liner, displacement: 33279
4849: This is a plane. Speed: 168, distance to destination: 121.000000, time to distance: 0.720238, maximum flight distance: 2024, capacity: 170
4850: 4851: This is a ship. Speed: 192, distance to destination: 1562.000000, time to distance: 8.135417, ship type: tanker, displacement: 25125
4852: This is a ship. Speed: 67, distance to destination: 913.000000, time to distance: 13.626866, ship type: liner, displacement: 12798
4853: This is a plane. Speed: 58, distance to destination: 1192.000000, time to distance: 20.551724, maximum flight distance: 3439, capacity: 116
4854: This is a plane. Speed: 16, distance to destination: 1173.000000, time to distance: 73.312500, maximum flight distance: 3401, capacity: 293
4855: 4856: 4857: This is a plane. Speed: 70, distance to destination: 405.000000, time to distance: 5.785714, maximum flight distance: 3382, capacity: 137
4858: 4859: This is a plane. Speed: 177, distance to destination: 86.000000, time to distance: 0.485876, maximum flight distance: 2103, capacity: 125
4860: This is a plane. Speed: 197, distance to destination: 342.000000, time to distance: 1.736041, maximum flight distance: 3271, capacity: 167
4861: This is a plane. Speed: 152, distance to destination: 365.000000, time to distance: 2.401316, maximum flight distance: 3361, capacity: 259
4862: This is a plane. Speed: 84, distance to destination: 1674.000000, time to distance: 19.928571, maximum flight distance: 3679, capacity: 276
4863: This is a ship. Speed: 92, distance to destination: 872.000000, time to distance: 9.478261, ship type: tanker, displacement: 21734
4864: This is a ship. Speed: 22, distance to destination: 970.000000, time to distance: 44.090909, ship type: liner, displacement: 31015
4865: This is a ship. Speed: 32, distance to destination: 1100.000000, time to distance: 34.375000, ship type: liner, displacement: 13807
4866: This is a plane. Speed: 21, distance to destination: 878.000000, time to distance: 41.809524, maximum flight distance: 3660, capacity: 134
4867: 4868: This is a ship. Speed: 134, distance to destination: 708.000000, time to distance: 5.283582, ship type: liner, displacement: 25163
4869: This is a plane. Speed: 157, distance to destination: 1554.000000, time to distance: 9.898089, maximum flight distance: 2687, capacity: 242
4870: 4871: This is a ship. Speed: 15, distance to destination: 1405.000000, time to distance: 93.666667, ship type: liner, displacement: 28670
4872: This is a ship. Speed: 107, distance to destination: 1089.000000, time to distance: 10.177570, ship type: tugboat, displacement: 9233
4873: 4874: 4875: 4876: 4877: This is a ship. Speed: 52, distance to destination: 1200.000000, time to distance: 23.076923, ship type: tugboat, displacement: 6606
4878: 4879: 4880: This is a plane. Speed: 34, distance to destination: 107.000000, time to distance: 3.147059, maximum flight distance: 3198, capacity: 147
4881: 4882: This is a ship. Speed: 85, distance to destination: 1615.000000, time to distance: 19.000000, ship type: liner, displacement: 29818
4883: This is a plane. Speed: 169, distance to destination: 927.000000, time to distance: 5.485207, maximum flight distance: 3547, capacity: 119
4884: This is a plane. Speed: 24, distance to destination: 641.000000, time to distance: 26.708333, maximum flight distance: 3617, capacity: 250
4885: This is a ship. Speed: 62, distance to destination: 1087.000000, time to distance: 17.532258, ship type: tanker, displacement: 25914
4886: 4887: This is a plane. Speed: 57, distance to destination: 1597.000000, time to distance: 28.017544, maximum flight distance: 3899, capacity: 249
4888: This is a plane. Speed: 79, distance to destination: 1694.000000, time to distance: 21.443038, maximum flight distance: 2682, capacity: 272
4889: This is a ship. Speed: 170, distance to destination: 610.000000, time to distance: 3.588235, ship type: tanker, displacement: 19853
4890: This is a ship. Speed: 53, distance to destination: 1735.000000, time to distance: 32.735849, ship type: tanker, displacement: 13981
4891: This is a ship. Speed: 21, distance to destination: 359.000000, time to distance: 17.095238, ship type: tanker, displacement: 3816
4892: This is a ship. Speed: 117, distance to destination: 607.000000, time to distance: 5.188034, ship type: liner, displacement: 33329
4893: This is a plane. Speed: 84, distance to destination: 1260.000000, time to distance: 15.000000, maximum flight distance: 3714, capacity: 137
4894: 4895: This is a plane. Speed: 178, distance to destination: 728.000000, time to distance: 4.089888, maximum flight distance: 3195, capacity: 124
4896: This is a ship. Speed: 187, distance to destination: 1364.000000, time to distance: 7.294118, ship type: tanker, displacement: 28098
4897: This is a plane. Speed: 75, distance to destination: 243.000000, time to distance: 3.240000, maximum flight distance: 2515, capacity: 239
4898: 4899: This is a plane. Speed: 128, distance to destination: 1151.000000, time to distance: 8.992188, maximum flight distance: 2848, capacity: 217
4900: This is a plane. Speed: 157, distance to destination: 1217.000000, time to distance: 7.751592, maximum flight distance: 3984, capacity: 249
4901: This is a ship. Speed: 165, distance to destination: 342.000000, time to distance: 2.072727, ship type: tanker, displacement: 18308
4902: This is a plane. Speed: 124, distance to destination: 1735.000000, time to distance: 13.991935, maximum flight distance: 3614, capacity: 236
4903: This is a plane. Speed: 10, distance to destination: 816.000000, time to distance: 81.600000, maximum flight distance: 2214, capacity: 243
4904: This is a ship. Speed: 151, distance to destination: 1818.000000, time to distance: 12.039735, ship type: liner, displacement: 32506
4905: 4906: This is a plane. Speed: 197, distance to destination: 556.000000, time to distance: 2.822335, maximum flight distance: 3921, capacity: 153
4907: 4908: This is a plane. Speed: 168, distance to destination: 1837.000000, time to distance: 10.934524, maximum flight distance: 3019, capacity: 209
4909: This is a plane. Speed: 172, distance to destination: 1570.000000, time to distance: 9.127907, maximum flight distance: 3260, capacity: 194
4910: This is a ship. Speed: 177, distance to destination: 1345.000000, time to distance: 7.598870, ship type: liner, displacement: 31314
4911: This is a plane. Speed: 89, distance to destination: 1165.000000, time to distance: 13.089888, maximum flight distance: 3881, capacity: 154
4912: This is a plane. Speed: 155, distance to destination: 160.000000, time to distance: 1.032258, maximum flight distance: 3758, capacity: 153
4913: This is a plane. Speed: 71, distance to destination: 1247.000000, time to distance: 17.563380, maximum flight distance: 3170, capacity: 203
4914: This is a plane. Speed: 107, distance to destination: 606.000000, time to distance: 5.663551, maximum flight distance: 2062, capacity: 157
4915: 4916: This is a ship. Speed: 53, distance to destination: 1087.000000, time to distance: 20.509434, ship type: tugboat, displacement: 13796
4917: This is a ship. Speed: 102, distance to destination: 1475.000000, time to distance: 14.460784, ship type: tugboat, displacement: 31506
4918: 4919: 4920: This is a plane. Speed: 132, distance to destination: 209.000000, time to distance: 1.583333, maximum flight distance: 2124, capacity: 279
4921: This is a ship. Speed: 61, distance to destination: 909.000000, time to distance: 14.901639, ship type: tanker, displacement: 24207
4922: 4923: This is a plane. Speed: 183, distance to destination: 833.000000, time to distance: 4.551913, maximum flight distance: 2566, capacity: 116
4924: This is a ship. Speed: 102, distance to destination: 171.000000, time to distance: 1.676471, ship type: tugboat, displacement: 5292
4925: This is a plane. Speed: 101, distance to destination: 194.000000, time to distance: 1.920792, maximum flight distance: 2884, capacity: 231
4926: 4927: This is a plane. Speed: 182, distance to destination: 917.000000, time to distance: 5.038462, maximum flight distance: 2207, capacity: 187
4928: This is a ship. Speed: 70, distance to destination: 960.000000, time to distance: 13.714286, ship type: tanker, displacement: 20225
4929: 4930: 4931: 4932: This is a plane. Speed: 120, distance to destination: 17.000000, time to distance: 0.141667, maximum flight distance: 3654, capacity: 247
4933: 4934: This is a ship. Speed: 82, distance to destination: 1660.000000, time to distance: 20.243902, ship type: tanker, displacement: 13212
4935: 4936: This is a plane. Speed: 11, distance to destination: 1005.000000, time to distance: 91.363636, maximum flight distance: 3492, capacity: 214
4937: This is a plane. Speed: 8, distance to destination: 1387.000000, time to distance: 173.375000, maximum flight distance: 2612, capacity: 144
4938: This is a ship. Speed: 92, distance to destination: 101.000000, time to distance: 1.097826, ship type: liner, displacement: 22696
4939: This is a ship. Speed: 7, distance to destination: 334.000000, time to distance: 47.714286, ship type: tugboat, displacement: 26004
4940: This is a ship. Speed: 116, distance to destination: 508.000000, time to distance: 4.379310, ship type: tugboat, displacement: 21274
4941: This is a plane. Speed: 49, distance to destination: 1166.000000, time to distance: 23.795918, maximum flight distance: 2314, capacity: 278
4942: This is a plane. Speed: 45, distance to destination: 1846.000000, time to distance: 41.022222, maximum flight distance: 3430, capacity: 195
4943: 4944: 4945: 4946: This is a ship. Speed: 80, distance to destination: 1113.000000, time to distance: 13.912500, ship type: tanker, displacement: 22563
4947: This is a ship. Speed: 178, distance to destination: 1776.000000, time to distance: 9.977528, ship type: tugboat, displacement: 2753
4948: 4949: This is a ship. Speed: 128, distance to destination: 282.000000, time to distance: 2.203125, ship type: tanker, displacement: 22151
4950: This is a ship. Speed: 131, distance to destination: 617.000000, time to distance: 4.709924, ship type: tanker, displacement: 33233
4951: This is a ship. Speed: 119, distance to destination: 902.000000, time to distance: 7.579832, ship type: liner, displacement: 21429
4952: 4953: 4954: This is a plane. Speed: 142, distance to destination: 1272.000000, time to distance: 8.957746, maximum flight distance: 2657, capacity: 203
4955: This is a ship. Speed: 3, distance to destination: 1231.000000, time to distance: 410.333333, ship type: tugboat, displacement: 32181
4956: 4957: This is a plane. Speed: 75, distance to destination: 236.000000, time to distance: 3.146667, maximum flight distance: 2543, capacity: 102
4958: This is a ship. Speed: 109, distance to destination: 144.000000, time to distance: 1.321101, ship type: tanker, displacement: 19142
4959: 4960: 4961: This is a ship. Speed: 17, distance to destination: 1280.000000, time to distance: 75.294118, ship type: liner, displacement: 25039
4962: 4963: This is a plane. Speed: 26, distance to destination: 1373.000000, time to distance: 52.807692, maximum flight distance: 2278, capacity: 121
4964: This is a plane. Speed: 98, distance to destination: 651.000000, time to distance: 6.642857, maximum flight distance: 3646, capacity: 218
4965: 4966: 4967: This is a ship. Speed: 150, distance to destination: 1709.000000, time to distance: 11.393333, ship type: tanker, displacement: 23484
4968: 4969: This is a plane. Speed: 101, distance to destination: 1248.000000, time to distance: 12.356436, maximum flight distance: 3766, capacity: 173
4970: This is a ship. Speed: 192, distance to destination: 75.000000, time to distance: 0.390625, ship type: liner, displacement: 32732
4971: 4972: 4973: This is a plane. Speed: 142, distance to destination: 1915.000000, time to distance: 13.485915, maximum flight distance: 3113, capacity: 158
4974: This is a ship. Speed: 89, distance to destination: 1812.000000, time to distance: 20.359551, ship type: tanker, displacement: 21686
4975: This is a plane. Speed: 170, distance to destination: 352.000000, time to distance: 2.070588, maximum flight distance: 2925, capacity: 172
4976: This is a ship. Speed: 70, distance to destination: 393.000000, time to distance: 5.614286, ship type: liner, displacement: 32818
4977: This is a plane. Speed: 153, distance to destination: 1034.000000, time to distance: 6.758170, maximum flight distance: 2011, capacity: 162
4978: 4979: 4980: This is a plane. Speed: 58, distance to destination: 775.000000, time to distance: 13.362069, maximum flight distance: 2200, capacity: 252
4981: 4982: This is a plane. Speed: 159, distance to destination: 1150.000000, time to distance: 7.232704, maximum flight distance: 3741, capacity: 163
4983: This is a plane. Speed: 4, distance to destination: 800.000000, time to distance: 200.000000, maximum flight distance: 3381, capacity: 169
4984: 4985: This is a ship. Speed: 82, distance to destination: 1446.000000, time to distance: 17.634146, ship type: liner, displacement: 26923
4986: 4987: This is a ship. Speed: 92, distance to destination: 849.000000, time to distance: 9.228261, ship type: tanker, displacement: 13709
4988: This is a ship. Speed: 73, distance to destination: 1473.000000, time to distance: 20.178082, ship type: tanker, displacement: 22500
4989: This is a ship. Speed: 62, distance to destination: 226.000000, time to distance: 3.645161, ship type: tanker, displacement: 19215
4990: This is a ship. Speed: 109, distance to destination: 1445.000000, time to distance: 13.256881, ship type: tanker, displacement: 6794
4991: This is a ship. Speed: 30, distance to destination: 1830.000000, time to distance: 61.000000, ship type: tanker, displacement: 8193
4992: 4993: This is a ship. Speed: 135, distance to destination: 648.000000, time to distance: 4.800000, ship type: tanker, displacement: 6570
4994: 4995: 4996: This is a ship. Speed: 41, distance to destination: 822.000000, time to distance: 20.048780, ship type: tugboat, displacement: 29486
4997: 4998: 4999: This is a ship. Speed: 162, distance to destination: 1328.000000, time to distance: 8.197531, ship type: tugboat, displacement: 13389
5000: This is a plane. Speed: 118, distance to destination: 1179.000000, time to distance: 9.991525, maximum flight distance: 3137, capacity: 106
5001: This is a ship. Speed: 119, distance to destination: 1818.000000, time to distance: 15.277311, ship type: tanker, displacement: 17107
5002: 5003: This is a ship. Speed: 2, distance to destination: 1002.000000, time to distance: 501.000000, ship type: liner, displacement: 18401
5004: This is a ship. Speed: 128, distance to destination: 510.000000, time to distance: 3.984375, ship type: tugboat, displacement: 13681
5005: This is a ship. Speed: 4, distance to destination: 1438.000000, time to distance: 359.500000, ship type: liner, displacement: 18350
5006: This is a plane. Speed: 106, distance to destination: 359.000000, time to distance: 3.386792, maximum flight distance: 2434, capacity: 256
5007: This is a plane. Speed: 12, distance to destination: 612.000000, time to distance: 51.000000, maximum flight distance: 3135, capacity: 180
5008: This is a ship. Speed: 77, distance to destination: 18.000000, time to distance: 0.233766, ship type: tugboat, displacement: 10039
5009: 5010: This is a plane. Speed: 119, distance to destination: 1761.000000, time to distance: 14.798319, maximum flight distance: 2680, capacity: 111
5011: 5012: This is a ship. Speed: 157, distance to destination: 908.000000, time to distance: 5.783439, ship type: tugboat, displacement: 19538
5013: This is a ship. Speed: 107, distance to destination: 1008.000000, time to distance: 9.420561, ship type: liner, displacement: 2043
5014: This is a plane. Speed: 145, distance to destination: 640.000000, time to distance: 4.413793, maximum flight distance: 2326, capacity: 285
5015: This is a plane. Speed: 134, distance to destination: 898.000000, time to distance: 6.701493, maximum flight distance: 2313, capacity: 126
5016: This is a ship. Speed: 19, distance to destination: 846.000000, time to distance: 44.526316, ship type: tugboat, displacement: 21005
5017: 5018: 5019: This is a ship. Speed: 42, distance to destination: 1968.000000, time to distance: 46.857143, ship type: tugboat, displacement: 2988
5020: 5021: This is a plane. Speed: 108, distance to destination: 370.000000, time to distance: 3.425926, maximum flight distance: 3549, capacity: 260
5022: 5023: 5024: 5025: This is a plane. Speed: 16, distance to destination: 1221.000000, time to distance: 76.312500, maximum flight distance: 3502, capacity: 227
5026: 5027: This is a plane. Speed: 100, distance to destination: 784.000000, time to distance: 7.840000, maximum flight distance: 3867, capacity: 277
5028: 5029: 5030: 5031: This is a ship. Speed: 174, distance to destination: 588.000000, time to distance: 3.379310, ship type: liner, displacement: 16665
5032: This is a plane. Speed: 28, distance to destination: 1171.000000, time to distance: 41.821429, maximum flight distance: 3640, capacity: 219
5033: This is a plane. Speed: 131, distance to destination: 53.000000, time to distance: 0.404580, maximum flight distance: 3818, capacity: 186
5034: This is a plane. Speed: 64, distance to destination: 1133.000000, time to distance: 17.703125, maximum flight distance: 2354, capacity: 138
5035: This is a plane. Speed: 76, distance to destination: 1770.000000, time to distance: 23.289474, maximum flight distance: 2757, capacity: 116
5036: This is a ship. Speed: 146, distance to destination: 983.000000, time to distance: 6.732877, ship type: tugboat, displacement: 17857
5037: 5038: 5039: This is a ship. Speed: 131, distance to destination: 1795.000000, time to distance: 13.702290, ship type: tugboat, displacement: 2127
5040: 5041: This is a ship. Speed: 111, distance to destination: 1470.000000, time to distance: 13.243243, ship type: liner, displacement: 28228
5042: This is a ship. Speed: 26, distance to destination: 1318.000000, time to distance: 50.692308, ship type: liner, displacement: 19303
5043: This is a plane. Speed: 196, distance to destination: 1652.000000, time to distance: 8.428571, maximum flight distance: 2928, capacity: 254
5044: This is a plane. Speed: 198, distance to destination: 1333.000000, time to distance: 6.732323, maximum flight distance: 3082, capacity: 285
5045: This is a ship. Speed: 192, distance to destination: 995.000000, time to distance: 5.182292, ship type: liner, displacement: 24656
5046: This is a ship. Speed: 42, distance to destination: 1458.000000, time to distance: 34.714286, ship type: tugboat, displacement: 12729
5047: 5048: This is a plane. Speed: 33, distance to destination: 1145.000000, time to distance: 34.696970, maximum flight distance: 2583, capacity: 110
5049: This is a ship. Speed: 99, distance to destination: 665.000000, time to distance: 6.717172, ship type: tanker, displacement: 1763
5050: This is a plane. Speed: 11, distance to destination: 966.000000, time to distance: 87.818182, maximum flight distance: 2502, capacity: 251
5051: This is a ship. Speed: 155, distance to destination: 466.000000, time to distance: 3.006452, ship type: liner, displacement: 31080
5052: 5053: This is a ship. Speed: 5, distance to destination: 475.000000, time to distance: 95.000000, ship type: tanker, displacement: 8620
5054: This is a ship. Speed: 87, distance to destination: 818.000000, time to distance: 9.402299, ship type: liner, displacement: 21989
5055: This is a ship. Speed: 80, distance to destination: 101.000000, time to distance: 1.262500, ship type: liner, displacement: 27544
5056: This is a plane. Speed: 165, distance to destination: 652.000000, time to distance: 3.951515, maximum flight distance: 3636, capacity: 119
5057: This is a plane. Speed: 158, distance to destination: 809.000000, time to distance: 5.120253, maximum flight distance: 3559, capacity: 186
5058: 5059: This is a ship. Speed: 147, distance to destination: 705.000000, time to distance: 4.795918, ship type: tanker, displacement: 11068
5060: This is a ship. Speed: 108, distance to destination: 187.000000, time to distance: 1.731481, ship type: liner, displacement: 25380
5061: 5062: This is a ship. Speed: 119, distance to destination: 111.000000, time to distance: 0.932773, ship type: tugboat, displacement: 11228
5063: This is a plane. Speed: 60, distance to destination: 995.000000, time to distance: 16.583333, maximum flight distance: 3648, capacity: 254
5064: This is a plane. Speed: 26, distance to destination: 1331.000000, time to distance: 51.192308, maximum flight distance: 2381, capacity: 260
5065: This is a plane. Speed: 153, distance to destination: 1049.000000, time to distance: 6.856209, maximum flight distance: 3436, capacity: 298
5066: 5067: This is a plane. Speed: 75, distance to destination: 941.000000, time to distance: 12.546667, maximum flight distance: 3088, capacity: 243
5068: This is a plane. Speed: 85, distance to destination: 1116.000000, time to distance: 13.129412, maximum flight distance: 3158, capacity: 299
5069: 5070: 5071: 5072: This is a plane. Speed: 26, distance to destination: 1331.000000, time to distance: 51.192308, maximum flight distance: 2888, capacity: 194
5073: 5074: 5075: 5076: This is a plane. Speed: 24, distance to destination: 1374.000000, time to distance: 57.250000, maximum flight distance: 3350, capacity: 112
5077: 5078: 5079: This is a plane. Speed: 126, distance to destination: 976.000000, time to distance: 7.746032, maximum flight distance: 2297, capacity: 159
5080: 5081: This is a plane. Speed: 128, distance to destination: 665.000000, time to distance: 5.195313, maximum flight distance: 3207, capacity: 188
5082: 5083: This is a ship. Speed: 6, distance to destination: 1213.000000, time to distance: 202.166667, ship type: tugboat, displacement: 24876
5084: 5085: This is a ship. Speed: 119, distance to destination: 1998.000000, time to distance: 16.789916, ship type: tugboat, displacement: 9464
5086: 5087: 5088: This is a plane. Speed: 52, distance to destination: 1738.000000, time to distance: 33.423077, maximum flight distance: 3090, capacity: 186
5089: 5090: This is a ship. Speed: 139, distance to destination: 1133.000000, time to distance: 8.151079, ship type: tanker, displacement: 27243
5091: This is a plane. Speed: 128, distance to destination: 839.000000, time to distance: 6.554688, maximum flight distance: 3776, capacity: 105
5092: This is a plane. Speed: 8, distance to destination: 636.000000, time to distance: 79.500000, maximum flight distance: 3573, capacity: 160
5093: This is a ship. Speed: 45, distance to destination: 937.000000, time to distance: 20.822222, ship type: liner, displacement: 2926
5094: This is a ship. Speed: 137, distance to destination: 295.000000, time to distance: 2.153285, ship type: tanker, displacement: 22618
